model_name,formula,family,offset,covariance,term,estimate_log,se_log,z,p_value,irr,irr_ci_low,irr_ci_high,n_rows,n_sites,converged,model_aic,notes
M4_eelgrass_plus_basin_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central"")) + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.San Juan]",0.22619190827188293,0.8358268813795549,0.27062052359281275,0.7866829091099277,1.253816259903096,0.24365580701623238,6.451950531565443,3978,133,True,5083.309440851219,Combined model adjusted for basin and row-level habitat.
M4_eelgrass_plus_basin_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central"")) + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.South]",-1.5474134711765766,0.8543392458003035,-1.8112400650950253,0.07010369880405966,0.21279766992469834,0.03987970929038449,1.1354859183063086,3978,133,True,5083.309440851219,Combined model adjusted for basin and row-level habitat.
M4_eelgrass_plus_basin_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central"")) + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.Strait of Georgia]",2.8905749329483417,0.5995563840118485,4.821189482808038,1.427047240120053e-06,18.003657522485266,5.559265602093976,58.304766742004816,3978,133,True,5083.309440851219,Combined model adjusted for basin and row-level habitat.
M4_eelgrass_plus_basin_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central"")) + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.Strait of Juan de Fuca]",2.9402144884434986,0.4899823974788094,6.000653296061837,1.965252128618838e-09,18.919903977833645,7.241777130756259,49.43023791910914,3978,133,True,5083.309440851219,Combined model adjusted for basin and row-level habitat.
M4_eelgrass_plus_basin_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central"")) + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.Whidbey]",3.330921143437248,0.5090923593994332,6.54286217802733,6.035244594623435e-11,27.964088779898834,10.310042850314836,75.8474307666126,3978,133,True,5083.309440851219,Combined model adjusted for basin and row-level habitat.
M4_eelgrass_plus_basin_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central"")) + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(HabitatType, Treatment(reference=""Natural Reef""))[T.Artificial Reef]",0.15666698027045786,0.534085835610423,0.29333670699466946,0.7692647988934338,1.1696060471483145,0.4106056466996829,3.3316110397440415,3978,133,True,5083.309440851219,Combined model adjusted for basin and row-level habitat.
M4_eelgrass_plus_basin_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central"")) + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(HabitatType, Treatment(reference=""Natural Reef""))[T.Eelgrass]",0.292902354651612,0.38769763303748583,0.7554917278107081,0.4499539938832301,1.34031190881851,0.6268982432461883,2.8655942687260683,3978,133,True,5083.309440851219,Combined model adjusted for basin and row-level habitat.
M4_eelgrass_plus_basin_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central"")) + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(HabitatType, Treatment(reference=""Natural Reef""))[T.Kelp Forest]",-0.4402428018294096,0.40839934494745966,-1.0779713711001337,0.2810465325217528,0.6438800668442117,0.2891843776821883,1.4336235719307384,3978,133,True,5083.309440851219,Combined model adjusted for basin and row-level habitat.
M4_eelgrass_plus_basin_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central"")) + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(HabitatType, Treatment(reference=""Natural Reef""))[T.Soft Bottom]",1.1392587461664279,0.44161357127564854,2.5797638937489076,0.009886788624642175,3.124451494949327,1.3148361424739996,7.424649223531766,3978,133,True,5083.309440851219,Combined model adjusted for basin and row-level habitat.
M4_eelgrass_plus_basin_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central"")) + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,"C(HabitatType, Treatment(reference=""Natural Reef""))[T.Sponge Garden]",-19.830979680046692,0.5622822819563394,-35.2687258987587,1.771881075465437e-272,2.440703108214905e-09,8.10773243656025e-10,7.347346140318861e-09,3978,133,True,5083.309440851219,Combined model adjusted for basin and row-level habitat.
M4_eelgrass_plus_basin_plus_habitat,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central"")) + C(HabitatType, Treatment(reference=""Natural Reef""))",NegativeBinomial(alpha=1),log(Survey.Time / 60),cluster-robust by SiteName,SiteHasEelgrassInt,1.4539614972350507,0.5374162374432663,2.705466258615868,0.006820857715816251,4.280036327259124,1.4927872754692488,12.271481184014911,3978,133,True,5083.309440851219,Combined model adjusted for basin and row-level habitat.
P4_eelgrass_plus_basin_plus_habitat_poisson_sensitivity,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central"")) + C(HabitatType, Treatment(reference=""Natural Reef""))",Poisson,log(Survey.Time / 60),cluster-robust by SiteName,Intercept,-3.122143242935709,0.6665764634451488,-4.683848611754388,2.81537979736618e-06,0.04406263022576294,0.011931073016251521,0.16272764233089054,3978,133,True,7340.80618321095,Poisson sensitivity: Combined model adjusted for basin and row-level habitat.
P4_eelgrass_plus_basin_plus_habitat_poisson_sensitivity,"Pycnopodia_count ~ SiteHasEelgrassInt + C(Basin, Treatment(reference=""Central"")) + C(HabitatType, Treatment(reference=""Natural Reef""))",Poisson,log(Survey.Time / 60),cluster-robust by SiteName,"C(Basin, Treatment(reference=""Central""))[T.Admiralty Inlet]",1.29354592262846,0.5666205391782294,2.2829139312607545,0.022435438704591467,3.6456910013668336,1.200802487581476,11.068483797211726,3978,133,True,7340.80618321095,Poisson sensitivity: Combined model adjusted for basin and row-level habitat.
